date,description,category,amount,type,account,payment_method
3/12/2024,Monthly Salary Credit,Salary,71377,income,ICICI Savings,NetBanking
1/15/2023,Freelance Project Payment,Freelance,4344,income,ICICI Savings,UPI
5/19/2024,Online Shopping,Shopping,6936,expense,ICICI Savings,UPI
3/20/2023,Fuel Station,Fuel,5406,expense,ICICI Savings,NetBanking
6/6/2022,Online Shopping,Shopping,1642,expense,ICICI Savings,NetBanking
4/7/2024,Broadband Bill,Internet,6545,expense,ICICI Savings,Card
3/23/2023,Equity Purchase,Stocks,14977,expense,ICICI Savings,Card
5/22/2024,Supermarket Purchase,Groceries,7005,expense,HDFC Savings,Card
4/7/2023,Supermarket Purchase,Groceries,6347,expense,ICICI Savings,NetBanking
9/17/2023,Medical Expense,Medical,3304,expense,ICICI Savings,UPI
5/22/2023,Equity Purchase,Stocks,8325,expense,HDFC Savings,Card
8/6/2022,Fuel Station,Fuel,6735,expense,ICICI Savings,Card
10/14/2022,Insurance Premium,Insurance,5944,expense,ICICI Savings,NetBanking
1/11/2022,Broadband Bill,Internet,7966,expense,HDFC Savings,UPI
9/5/2022,Travel Booking,Travel,3529,expense,ICICI Savings,NetBanking
2/16/2024,Supermarket Purchase,Groceries,5857,expense,ICICI Savings,NetBanking
12/30/2023,Electricity Bill,Electricity,3871,expense,HDFC Savings,UPI
10/29/2022,Supermarket Purchase,Groceries,3512,expense,HDFC Savings,Card
11/11/2023,Insurance Premium,Insurance,3223,expense,ICICI Savings,NetBanking
6/28/2023,Fuel Station,Fuel,3685,expense,ICICI Savings,Card
12/21/2023,Electricity Bill,Electricity,2419,expense,ICICI Savings,Card
8/25/2022,Freelance Project Payment,Freelance,6108,income,HDFC Savings,Card
5/3/2022,Travel Booking,Travel,4589,expense,HDFC Savings,UPI
8/10/2022,Travel Booking,Travel,4166,expense,ICICI Savings,NetBanking
8/27/2023,SIP Investment,Mutual Fund,11595,expense,ICICI Savings,UPI
5/2/2024,Supermarket Purchase,Groceries,2626,expense,HDFC Savings,Card
7/3/2022,Restaurant Payment,Dining,315,expense,HDFC Savings,Card
2/16/2022,Monthly Salary Credit,Salary,78132,income,ICICI Savings,NetBanking
5/10/2022,Medical Expense,Medical,7314,expense,ICICI Savings,UPI
6/12/2024,Monthly Salary Credit,Salary,78810,income,ICICI Savings,Card
5/6/2023,Electricity Bill,Electricity,2991,expense,HDFC Savings,UPI
9/16/2022,Equity Purchase,Stocks,10827,expense,HDFC Savings,UPI
2/15/2023,Electricity Bill,Electricity,806,expense,HDFC Savings,UPI
6/2/2022,SIP Investment,Mutual Fund,12221,expense,ICICI Savings,UPI
9/12/2022,Freelance Project Payment,Freelance,4771,income,ICICI Savings,NetBanking
9/3/2023,SIP Investment,Mutual Fund,13132,expense,HDFC Savings,NetBanking
1/25/2023,Electricity Bill,Electricity,7642,expense,ICICI Savings,Card
5/30/2024,Insurance Premium,Insurance,3712,expense,ICICI Savings,NetBanking
9/28/2023,Monthly Salary Credit,Salary,79976,income,HDFC Savings,UPI
10/3/2023,Supermarket Purchase,Groceries,2367,expense,HDFC Savings,UPI
9/3/2022,House Rent,Rent,24043,expense,HDFC Savings,UPI
1/3/2022,Online Shopping,Shopping,3890,expense,ICICI Savings,Card
2/3/2022,Supermarket Purchase,Groceries,2560,expense,ICICI Savings,NetBanking
5/30/2024,Electricity Bill,Electricity,783,expense,HDFC Savings,Card
3/17/2024,SIP Investment,Mutual Fund,13240,expense,HDFC Savings,Card
4/28/2022,Broadband Bill,Internet,2041,expense,HDFC Savings,Card
4/26/2024,House Rent,Rent,16169,expense,HDFC Savings,UPI
3/22/2024,Restaurant Payment,Dining,5074,expense,ICICI Savings,Card
5/8/2022,Electricity Bill,Electricity,5841,expense,ICICI Savings,NetBanking
2/17/2023,Restaurant Payment,Dining,4299,expense,ICICI Savings,Card
3/24/2022,Insurance Premium,Insurance,526,expense,ICICI Savings,NetBanking
11/27/2022,Insurance Premium,Insurance,2251,expense,HDFC Savings,UPI
8/23/2022,Medical Expense,Medical,7048,expense,HDFC Savings,NetBanking
4/21/2024,Restaurant Payment,Dining,4920,expense,HDFC Savings,UPI
4/27/2023,Broadband Bill,Internet,5537,expense,ICICI Savings,Card
7/5/2022,Insurance Premium,Insurance,3770,expense,ICICI Savings,UPI
4/27/2023,Fuel Station,Fuel,3545,expense,ICICI Savings,Card
11/18/2023,Freelance Project Payment,Freelance,7226,income,HDFC Savings,Card
2/26/2023,Travel Booking,Travel,4258,expense,ICICI Savings,NetBanking
2/15/2023,Equity Purchase,Stocks,12012,expense,HDFC Savings,Card
4/1/2022,Fuel Station,Fuel,2267,expense,ICICI Savings,UPI
3/2/2024,Online Shopping,Shopping,7285,expense,HDFC Savings,NetBanking
6/9/2024,Broadband Bill,Internet,3984,expense,ICICI Savings,UPI
7/12/2022,Broadband Bill,Internet,3163,expense,ICICI Savings,NetBanking
3/29/2023,SIP Investment,Mutual Fund,3845,expense,HDFC Savings,Card
7/17/2023,House Rent,Rent,19719,expense,ICICI Savings,NetBanking
5/12/2023,Freelance Project Payment,Freelance,436,income,HDFC Savings,NetBanking
6/12/2022,Restaurant Payment,Dining,4712,expense,HDFC Savings,NetBanking
2/22/2023,Freelance Project Payment,Freelance,2040,income,HDFC Savings,Card
5/1/2022,Medical Expense,Medical,7016,expense,HDFC Savings,Card
1/4/2024,Restaurant Payment,Dining,4368,expense,ICICI Savings,Card
5/4/2024,Electricity Bill,Electricity,4068,expense,HDFC Savings,Card
7/19/2023,House Rent,Rent,21284,expense,HDFC Savings,NetBanking
6/5/2023,Travel Booking,Travel,7403,expense,HDFC Savings,UPI
10/10/2022,SIP Investment,Mutual Fund,9798,expense,ICICI Savings,NetBanking
10/1/2022,Equity Purchase,Stocks,3042,expense,ICICI Savings,NetBanking
11/2/2022,Equity Purchase,Stocks,12616,expense,ICICI Savings,UPI
4/3/2023,Broadband Bill,Internet,4167,expense,ICICI Savings,Card
7/20/2023,SIP Investment,Mutual Fund,11903,expense,ICICI Savings,Card
11/26/2022,Equity Purchase,Stocks,6090,expense,HDFC Savings,NetBanking
1/28/2023,Supermarket Purchase,Groceries,7212,expense,ICICI Savings,UPI
11/22/2022,Travel Booking,Travel,4074,expense,ICICI Savings,Card
11/11/2023,SIP Investment,Mutual Fund,13682,expense,HDFC Savings,Card
2/7/2022,House Rent,Rent,23229,expense,ICICI Savings,UPI
6/14/2024,Equity Purchase,Stocks,10213,expense,HDFC Savings,NetBanking
4/13/2023,Monthly Salary Credit,Salary,83673,income,HDFC Savings,Card
6/10/2024,Medical Expense,Medical,1464,expense,HDFC Savings,Card
3/11/2024,Restaurant Payment,Dining,2973,expense,ICICI Savings,NetBanking
3/24/2022,Equity Purchase,Stocks,8383,expense,ICICI Savings,Card
10/4/2023,Travel Booking,Travel,7469,expense,ICICI Savings,NetBanking
2/6/2022,Insurance Premium,Insurance,760,expense,HDFC Savings,NetBanking
12/2/2023,Restaurant Payment,Dining,2063,expense,HDFC Savings,Card
4/11/2022,SIP Investment,Mutual Fund,13383,expense,HDFC Savings,Card
6/20/2022,Travel Booking,Travel,2653,expense,HDFC Savings,UPI
11/29/2022,SIP Investment,Mutual Fund,3919,expense,ICICI Savings,Card
1/19/2023,Online Shopping,Shopping,1392,expense,HDFC Savings,NetBanking
2/26/2023,Insurance Premium,Insurance,5785,expense,HDFC Savings,UPI
6/29/2022,Freelance Project Payment,Freelance,5192,income,ICICI Savings,NetBanking
12/1/2023,Supermarket Purchase,Groceries,4276,expense,HDFC Savings,UPI
4/18/2023,Medical Expense,Medical,2280,expense,ICICI Savings,Card
11/14/2023,Monthly Salary Credit,Salary,89455,income,ICICI Savings,Card
11/25/2023,Broadband Bill,Internet,1494,expense,HDFC Savings,Card
12/20/2022,Insurance Premium,Insurance,2650,expense,ICICI Savings,NetBanking
9/14/2022,Electricity Bill,Electricity,7124,expense,ICICI Savings,UPI
1/29/2023,Equity Purchase,Stocks,10916,expense,HDFC Savings,UPI
1/26/2023,Insurance Premium,Insurance,3140,expense,ICICI Savings,NetBanking
10/30/2022,Monthly Salary Credit,Salary,87198,income,ICICI Savings,Card
1/9/2022,Insurance Premium,Insurance,7286,expense,HDFC Savings,NetBanking
2/3/2024,Electricity Bill,Electricity,7022,expense,ICICI Savings,UPI
9/14/2023,SIP Investment,Mutual Fund,8772,expense,HDFC Savings,NetBanking
7/14/2022,Insurance Premium,Insurance,2253,expense,HDFC Savings,NetBanking
4/10/2022,Medical Expense,Medical,5494,expense,HDFC Savings,Card
3/18/2024,Electricity Bill,Electricity,473,expense,ICICI Savings,NetBanking
5/15/2022,Freelance Project Payment,Freelance,7651,income,ICICI Savings,Card
2/5/2024,Online Shopping,Shopping,1638,expense,HDFC Savings,UPI
3/16/2024,Broadband Bill,Internet,7379,expense,ICICI Savings,NetBanking
5/29/2023,Restaurant Payment,Dining,7003,expense,HDFC Savings,Card
4/24/2024,Electricity Bill,Electricity,6806,expense,ICICI Savings,NetBanking
6/10/2024,Fuel Station,Fuel,6788,expense,HDFC Savings,Card
3/19/2022,House Rent,Rent,18696,expense,ICICI Savings,NetBanking
1/10/2023,Freelance Project Payment,Freelance,6677,income,ICICI Savings,UPI
9/28/2022,Broadband Bill,Internet,1212,expense,ICICI Savings,Card
11/20/2023,Travel Booking,Travel,5707,expense,ICICI Savings,NetBanking
1/26/2023,Equity Purchase,Stocks,13461,expense,ICICI Savings,UPI
11/23/2023,Supermarket Purchase,Groceries,4062,expense,HDFC Savings,NetBanking
7/29/2023,Fuel Station,Fuel,7697,expense,HDFC Savings,NetBanking
3/6/2022,Medical Expense,Medical,6949,expense,ICICI Savings,NetBanking
11/6/2022,Medical Expense,Medical,3544,expense,HDFC Savings,UPI
2/16/2022,Monthly Salary Credit,Salary,69973,income,ICICI Savings,UPI
4/10/2022,Supermarket Purchase,Groceries,7468,expense,HDFC Savings,Card
4/10/2023,Fuel Station,Fuel,5692,expense,ICICI Savings,NetBanking
1/31/2024,Travel Booking,Travel,1465,expense,ICICI Savings,NetBanking
4/12/2022,Equity Purchase,Stocks,11017,expense,ICICI Savings,Card
2/3/2022,Travel Booking,Travel,3235,expense,HDFC Savings,Card
4/1/2023,Supermarket Purchase,Groceries,7207,expense,ICICI Savings,UPI
12/4/2023,Fuel Station,Fuel,4660,expense,ICICI Savings,UPI
2/12/2023,Restaurant Payment,Dining,1754,expense,HDFC Savings,Card
4/4/2022,Medical Expense,Medical,1937,expense,HDFC Savings,UPI
3/16/2024,Fuel Station,Fuel,2195,expense,HDFC Savings,NetBanking
7/30/2022,Freelance Project Payment,Freelance,6997,income,HDFC Savings,NetBanking
8/10/2022,Equity Purchase,Stocks,6817,expense,ICICI Savings,UPI
3/18/2024,Insurance Premium,Insurance,223,expense,ICICI Savings,UPI
5/14/2022,Broadband Bill,Internet,2253,expense,HDFC Savings,UPI
11/8/2023,Equity Purchase,Stocks,3422,expense,HDFC Savings,UPI
1/2/2023,SIP Investment,Mutual Fund,6898,expense,ICICI Savings,UPI
6/28/2022,Restaurant Payment,Dining,629,expense,HDFC Savings,NetBanking
3/8/2023,Broadband Bill,Internet,1131,expense,HDFC Savings,Card
4/5/2023,SIP Investment,Mutual Fund,8931,expense,HDFC Savings,Card
5/31/2023,Supermarket Purchase,Groceries,7944,expense,HDFC Savings,NetBanking
3/13/2024,Equity Purchase,Stocks,13795,expense,ICICI Savings,Card
10/21/2023,Monthly Salary Credit,Salary,61993,income,ICICI Savings,Card
3/13/2023,Medical Expense,Medical,1084,expense,ICICI Savings,NetBanking
3/31/2023,Freelance Project Payment,Freelance,7566,income,HDFC Savings,Card
9/15/2023,House Rent,Rent,16076,expense,HDFC Savings,Card
10/2/2023,Medical Expense,Medical,4995,expense,ICICI Savings,Card
9/4/2023,Broadband Bill,Internet,2615,expense,ICICI Savings,NetBanking
9/12/2023,Online Shopping,Shopping,1012,expense,HDFC Savings,NetBanking
10/29/2023,SIP Investment,Mutual Fund,12033,expense,HDFC Savings,Card
4/8/2023,Supermarket Purchase,Groceries,3589,expense,ICICI Savings,Card
2/13/2023,Online Shopping,Shopping,6176,expense,HDFC Savings,Card
3/14/2023,Fuel Station,Fuel,5648,expense,ICICI Savings,Card
6/6/2022,Medical Expense,Medical,7761,expense,ICICI Savings,UPI
4/4/2022,Equity Purchase,Stocks,4398,expense,HDFC Savings,Card
4/9/2022,Travel Booking,Travel,6252,expense,ICICI Savings,UPI
7/24/2023,Monthly Salary Credit,Salary,79217,income,ICICI Savings,NetBanking
5/6/2022,Online Shopping,Shopping,3096,expense,ICICI Savings,NetBanking
2/22/2022,Restaurant Payment,Dining,5118,expense,ICICI Savings,Card
4/17/2022,Insurance Premium,Insurance,4356,expense,HDFC Savings,UPI
11/4/2023,Electricity Bill,Electricity,2037,expense,HDFC Savings,Card
5/15/2024,Broadband Bill,Internet,3211,expense,HDFC Savings,Card
8/11/2023,Supermarket Purchase,Groceries,6812,expense,ICICI Savings,NetBanking
2/25/2024,Equity Purchase,Stocks,13186,expense,HDFC Savings,NetBanking
11/5/2023,Equity Purchase,Stocks,14361,expense,ICICI Savings,UPI
7/4/2022,Restaurant Payment,Dining,5956,expense,ICICI Savings,Card
12/26/2022,Monthly Salary Credit,Salary,65944,income,HDFC Savings,NetBanking
11/5/2023,Online Shopping,Shopping,770,expense,HDFC Savings,NetBanking
10/11/2023,Monthly Salary Credit,Salary,63006,income,HDFC Savings,Card
3/6/2023,Electricity Bill,Electricity,2992,expense,HDFC Savings,Card
11/16/2022,Travel Booking,Travel,2857,expense,HDFC Savings,UPI
6/9/2022,House Rent,Rent,15815,expense,HDFC Savings,Card
3/30/2023,Medical Expense,Medical,3673,expense,ICICI Savings,NetBanking
3/29/2023,Online Shopping,Shopping,2437,expense,HDFC Savings,NetBanking
4/27/2022,Fuel Station,Fuel,3721,expense,HDFC Savings,Card
11/26/2023,Medical Expense,Medical,5058,expense,ICICI Savings,NetBanking
11/15/2023,Restaurant Payment,Dining,572,expense,HDFC Savings,Card
9/6/2023,Monthly Salary Credit,Salary,60251,income,HDFC Savings,Card
8/5/2022,SIP Investment,Mutual Fund,5248,expense,ICICI Savings,Card
12/2/2022,Freelance Project Payment,Freelance,263,income,ICICI Savings,NetBanking
3/17/2023,House Rent,Rent,17116,expense,ICICI Savings,NetBanking
12/22/2023,Supermarket Purchase,Groceries,4298,expense,ICICI Savings,UPI
2/11/2023,Equity Purchase,Stocks,3693,expense,ICICI Savings,UPI
4/16/2023,Freelance Project Payment,Freelance,7262,income,ICICI Savings,NetBanking
3/16/2023,Insurance Premium,Insurance,3513,expense,ICICI Savings,Card
4/28/2022,Online Shopping,Shopping,370,expense,ICICI Savings,UPI
3/31/2024,Insurance Premium,Insurance,3969,expense,ICICI Savings,UPI
3/24/2023,Equity Purchase,Stocks,4734,expense,HDFC Savings,Card
8/27/2023,Online Shopping,Shopping,4492,expense,HDFC Savings,Card
6/10/2024,Restaurant Payment,Dining,6309,expense,ICICI Savings,UPI
12/8/2022,SIP Investment,Mutual Fund,5754,expense,HDFC Savings,NetBanking
10/11/2023,Freelance Project Payment,Freelance,4546,income,HDFC Savings,Card
12/26/2022,Travel Booking,Travel,6908,expense,HDFC Savings,UPI
4/16/2022,House Rent,Rent,19193,expense,HDFC Savings,UPI
9/9/2023,House Rent,Rent,16234,expense,HDFC Savings,NetBanking
5/21/2023,Electricity Bill,Electricity,6380,expense,ICICI Savings,NetBanking
8/2/2023,Medical Expense,Medical,5404,expense,ICICI Savings,NetBanking
11/20/2022,House Rent,Rent,22205,expense,HDFC Savings,Card
3/29/2023,Medical Expense,Medical,2680,expense,ICICI Savings,NetBanking
2/27/2022,Fuel Station,Fuel,4356,expense,HDFC Savings,Card
